reads	unique_genes	unique_isoforms	unique_genes_known	unique_isoforms_known
36800000	20559	244969	18096	53973
36850000	20559	244972	18096	53973
36900000	20559	244977	18096	53974
36950000	20559	244986	18096	53975
37000000	20559	244990	18096	53975
37050000	20560	244999	18096	53977
37100000	20560	245007	18096	53979
37150000	20560	245012	18096	53979
37200000	20560	245021	18096	53979
37250000	20561	245028	18097	53979
37300000	20561	245036	18097	53979
37350000	20561	245041	18097	53980
37400000	20562	245047	18097	53981
37450000	20562	245051	18097	53981
37500000	20562	245057	18097	53982
37550000	20562	245063	18097	53982
37600000	20562	245066	18097	53982
37650000	20562	245069	18097	53982
37700000	20562	245071	18097	53982
37750000	20562	245073	18097	53982
37800000	20562	245073	18097	53982
37850000	20562	245075	18097	53982
37900000	20562	245076	18097	53982
37950000	20562	245076	18097	53982
38000000	20562	245076	18097	53982
38050000	20562	245076	18097	53982
38100000	20562	245076	18097	53982
38112169	20562	245076	18097	53982
